message,is_flight_intent
 what flights are available from pittsburgh to baltimore on thursday morning,1
 what is the arrival time in san francisco for the 755 am flight leaving washington,1
 cheapest airfare from tacoma to orlando,0
 round trip fares from pittsburgh to philadelphia under 1000 dollars,0
 i need a flight tomorrow from columbus to minneapolis,1
 what kind of aircraft is used on a flight from cleveland to dallas,0
 show me the flights from pittsburgh to los angeles on thursday,1
 all flights from boston to washington,1
 what kind of ground transportation is available in denver,0
 show me the flights from dallas to san francisco,1
 show me the flights from san diego to newark by way of houston,1
 what's the airport at orlando,0
 what is the cheapest flight from boston to bwi,1
 all flights to baltimore after 6 pm,1
 show me the first class fares from boston to denver,0
 show me the ground transportation in denver,0
 all flights from denver to pittsburgh leaving after 6 pm and before 7 pm,1
 i need information on flights for tuesday leaving baltimore for dallas dallas to boston and boston to baltimore,1
 please give me the flights from boston to pittsburgh on thursday of next week,1
 i would like to fly from denver to pittsburgh on united airlines,1
 show me the flights from san diego to newark,1
 please list all first class flights on united from denver to baltimore,1
 what kinds of planes are used by american airlines,0
 i'd like to have some information on a ticket from denver to pittsburgh and atlanta,0
 i'd like to book a flight from atlanta to denver,1
 which airline serves denver pittsburgh and atlanta,0
 show me all flights from boston to pittsburgh on wednesday of next week which leave boston after 2 o'clock pm,1
 atlanta ground transportation,0
 i also need service from dallas to boston arriving by noon,1
 show me the cheapest round trip fare from baltimore to dallas,0
 show me all flights from new york to milwaukee on northwest airlines departing at 720 am,1
 flights from new york to miami,1
 please find a flight on delta from philadelphia to san francisco and give me the flight numbers,1
 i need a flight from dallas to san francisco,1
 fares and flights from pittsburgh to philadelphia,0
 show me the airlines with first class flights,0
 what are the flights from st. louis to burbank sunday evening,1
 i'd like to arrange a flight from pittsburgh to atlanta,1
 show flights from baltimore to san francisco between 6 pm and 8 pm on friday,1
 how far is it from orlando airport to orlando,0
 i would like a list of round trip flights between indianapolis and orlando florida for the twenty seventh and the twenty eighth of december,1
 which airline has the most arrivals in atlanta,0
 what airlines fly from new york to milwaukee to los angeles,0
 pittsburgh to denver,1
 which airlines serve atlanta,0
 show me information on ground transportation for dallas,0
 what is fare code h,0
 show me all flights from boston to dallas fort worth both direct and connecting that arrive before noon,1
 i need a flight from charlotte to newark leaving today evening,1
 what are the times that you have planes leaving from san francisco going to pittsburgh on july seventh,1
 flights from newark to cleveland,1
 what flights go from boston to pittsburgh after 6 o'clock next tuesday,1
 how much does the limousine service cost within pittsburgh,0
 does us air have any flights out of atlanta to denver,1
 what is booking class c,0
 i'd like to know the shortest trip between boston and san francisco,1
 i would like to see information for flights from san francisco leaving after 12 pm to pittsburgh on monday,1
 what is the least expensive flight from denver to atlanta,1
 i need to know information for flights leaving dallas on tuesday evening and returning to atlanta,1
 what flight goes from denver to baltimore first class on united airlines arriving on may seventh,1
 could you please tell me the airlines that fly from toronto to san diego,0
 what flights do you have from burbank to tacoma washington,1
 what is the ground transportation from philadelphia airport to the city proper,0
 which airlines have first class flights today,0
 find the latest flight from san francisco to atlanta that serves a meal,1
 i would like to make a reservation for a flight to denver from philadelphia on this coming sunday,1
 give me a list of airports in baltimore,0
 show me flights from boston to denver on wednesday,1
 show me the flights from boston to baltimore,1
 what does fare code q mean,0
 please give me the flights from san francisco to washington dc,1
 i need information from denver to pittsburgh,1
 from seattle to salt lake city,1
 what is the earliest flight from boston to bwi that serves a snack,1
 what types of aircraft does delta fly,0
 what is the cost of a round trip flight from pittsburgh to atlanta beginning on april twenty fifth and returning on may sixth,0
 give me the flights leaving denver august ninth coming back to boston,1
 list all the flights that fly into general mitchell international,1
 what flights fly from denver to san francisco on monday tuesday wednesday thursday and friday,1
 list all flights from indianapolis to seattle,1
 in flight meal oakland to philadelphia saturday,1
 show me the flights on twa from atlanta in the morning,1
 i want to find the first flight from baltimore to boston that serves a meal,1
 of all airlines which airline has the most arrivals in atlanta,0
 display all flights from baltimore to boston on july twenty ninth,1
 i want to travel from atlanta to baltimore early in the morning first flight,1
 i now need a flight from san jose to houston leaving on sunday the fourth,1
 what are the flights available after 6 pm between san francisco and boston,1
 what flights depart baltimore on friday and arrive in san francisco by 8 pm,1
 show me flights from boston to san francisco,1
 list the delta airlines flights from boston to philadelphia,1
 show me the fares from dallas to san francisco,0
 what nonstop flights between boston and washington arrive after 4 o'clock pm,1
 what is the distance from los angeles international airport to los angeles,0
 ground transportation in san jose,0
 please tell me how many nonstop flights there are from boston to atlanta,0
 on the earliest flight from san francisco to atlanta on delta is a meal being served,1
 where does canadian airlines international fly,1
 what flights from denver to pittsburgh arrive before 8 in the morning,1
 find me the earliest flight from boston to atlanta,1
 list nonstop flights from houston to dallas which arrive before midnight,1
 show me the flights from boston to san francisco that stop in atlanta,1
 show me flights to san francisco from philadelphia stopping in dallas,1
 what city is the airport mco in,0
 how much does it cost to rent a car in tacoma,0
 show me flights from baltimore to dallas,1
 show me a list of ground transportation at denver,0
 i'd like a flight from columbus to phoenix stopping in cincinnati and serving dinner what's available,1
 also show me flights from san francisco to pittsburgh on tuesday,1
 show flights from dallas to oakland,1
 give me the cheapest flight from charlotte to long beach,1
 show me all flights from san francisco to pittsburgh,1
 find me a flight on united from boston to san francisco with a stopover in denver,1
 show me the last flight from love field,1
 what flights go from newark to boston after 5 pm,1
 what are all the flights from boston to dallas,1
 what is the earliest flight departing san francisco and arriving in boston on november ninth,1
 what is the earliest flight flying from pittsburgh to atlanta on july fifth,1
 please list available flights for next saturday from philadelphia to dallas,1
 what flights leave pittsburgh and arrive in los angeles after 5 pm on thursday,1
 what is the transportation time from the airport to boston,0
 which airline has the smallest plane leaving pittsburgh and arriving in baltimore on july fourth,0
 what are the nonstop flights on america west or southwest air from kansas city to burbank on saturday may twenty two,1
 what are the classes of service for american airlines,1
 i would like to find out what flights there are on friday june eleventh from st. petersburg to milwaukee and then from milwaukee to tacoma thank you,1
 all flights from boston to washington dc on november tenth,1
 what are the flights from denver to san francisco,1
 on the 8 am flight from san francisco to atlanta what type of aircraft is used,0
 which flight is a one way fare at 329 dollars from denver to pittsburgh,1
 what flights leave baltimore for boston after 6 o'clock on friday,1
 okay i need to get a flight from houston to seattle,1
 please list flights between denver and boston,1
 find me the flights that are nonstop between boston and dallas that leave between 12 and 2 in the afternoon,1
 i would like some information on flights leaving boston to atlanta,1
 show me the latest nonstop flight from denver to washington dc,1
 what are the flights from dallas to baltimore,1
 i would like a nonstop flight from new york to las vegas on march second,1
 no i want to go from denver to oakland,1
 show me all the night fares between philadelphia and san francisco,0
 what kinds of ground transportation is available in dallas fort worth,0
 can you show me economy class one way fares for flights from oakland to dallas on december sixteenth,0
 what is fare code qw,0
 i'd like a flight on july ninth from orlando to kansas city in the afternoon,1
 what are the coach fares from charlotte to la wednesday night,0
 is there ground transportation available in denver,0
 show me flights from philadelphia to oakland on friday,1
 i would like to know the flights available from boston to denver arriving in denver by 8 o'clock wednesday morning,1
 i would like to fly the cheapest rate available from pittsburgh to atlanta on wednesday morning,1
 list the flight from philadelphia to san francisco on american airlines,1
 flights from memphis to las vegas on sunday,1
 what is the first flight from atlanta to boston on thursday september fifth that leaves after 8 am,1
 what is the first class fare on united flight 352 from denver to boston,0
 flight from philadelphia to dallas arriving before 4 pm on saturday,1
 list flights tomorrow from san diego to phoenix,1
 show me all flights from san francisco to washington dc area,1
 sure i want to go from philadelphia to dallas,1
 show me all the united airlines flights leaving dallas,1
 can you list all the flights between phoenix and las vegas,1
 list all flights from baltimore to philadelphia,1
 round trip flights from minneapolis to san diego coach economy fare,1
 i want to fly from boston to denver and i don't want any stopovers and i'd like to fly only during the afternoon,1
 flights from denver to baltimore between 10 am and 2 pm,1
 show me the flights from denver to atlanta,1
 what flights are there on delta from boston to dallas,1
 what kind of ground transportation can you offer me in seattle,0
 leaving washington going to san francisco the latest flight,1
 show me the flights available from atlanta to baltimore leaving atlanta in the morning,1
 round trip fares new york to san jose,0
 which flights are serviced by american airlines,1
 how do i get from pittsburgh airport to downtown pittsburgh,1
 does midwest express serve charlotte,1
 what flights from houston to milwaukee on friday in the evening on american airlines,1
 what is the earliest flight going from san francisco to dallas on monday august nineteenth,1
 what flights from atlanta to st. louis on tuesday arriving around 230 pm,1
 i need a flight from kansas city to chicago that leaves wednesday and arrives in chicago around 7 pm,1
 i would like information on any flights from pittsburgh to san francisco leaving thursday evening,1
 i need a cheap flight from baltimore to san francisco,1
 what is the cost of a first class ticket from baltimore to dallas,0
 what is the economy thrift fare from boston to washington,0
 list the nonstop flights early tuesday morning from dallas to atlanta,1
 what is the earliest flight you have that leaves philadelphia to dallas,1
 are there any flights from dallas fort worth to boston leaving before 10 am,1
 show me all the flights to baltimore after 6 o'clock pm,1
 i need a return flight from philadelphia to boston,1
 united airlines flights stopping in denver before noon,1
 show me the car rentals in baltimore,0
 what flights go from newark to boston after 1024 in the morning,1
 shortest evening flight from tampa to cincinnati,1
 how much time does it take to go between the airport and downtown by ground transportation in dallas,0
 flights from boston to pittsburgh,1
 i'd like to fly continental airlines between boston and philadelphia,1
 i would like to book a flight on continental airlines from chicago to seattle on june first,1
 all flights from pittsburgh to dallas round trip after 12 pm less than 100,1
 show me flights on sunday going from san francisco to boston nonstop first class leaving after 12 noon,1
 from las vegas to phoenix,1
 show me flights from pittsburgh to atlanta on monday afternoon,1
 show me the flight with the smallest seating capacity which leaves pittsburgh and arrives in baltimore on june fourteenth,1
 show all flights from boston to denver on july thirty first,1
 are there any flights before 12 noon on june fifteenth from long beach to columbus,1
 list daily flights from boston to atlanta,1
 on a flight from san francisco to atlanta that leaves before 8 am is there such a flight,1
 on united airlines give me the flight times from boston to dallas,1
 ground transportation minneapolis,0
 show me airline abbreviations,0
 how many flights does delta have with a class of service code f,0
 please list all the arriving and departing flights from general mitchell international,1
 i would like to see the flights from denver to philadelphia please,1
 does eastern airlines fly early in the morning between logan and bwi,1
 what flights leave phoenix on american airlines,1
 can you list all the airlines that have flights from boston to san francisco,0
 flights from nashville to orlando daily,1
 show me first class flights from pittsburgh to san francisco on friday,1
 i need the earliest flight from denver to boston that serves dinner,1
 from toronto to atlanta in the afternoon,1
 please list the friday afternoon flights from san jose to dallas on american airlines,1
 is there ground transportation in boston from the airport,0
 show first flight from pittsburgh to atlanta on wednesday,1
 i'm sorry i wanted to fly twa is there a flight between oakland and boston with a stopover in dallas fort worth on twa,1
 show me all flights from san francisco to la guardia nonstop,1
 what flights are there from pittsburgh to los angeles,1
 what kind of ground transportation is there in washington dc,0
 what is the least expensive flight available from dallas fort worth to san francisco,1
 what does the fare code f mean,0
 what's the most expensive way i can fly to washington,1
 what flights from houston to milwaukee on friday on american airlines,1
 what is the schedule of ground transportation from the airport in philadelphia into downtown,0
 show me a list of flights from san francisco to boston for august thirtieth,1
 show me the least expensive flight from miami to cleveland on sunday after noon,1
 how much does it cost to go from downtown to logan airport,0
 what flights are there from newark to tampa,1
 i want a flight from philadelphia to dallas that at least has one stop,1
 show flights from denver to oakland arriving between 12 and 1 o'clock,1
 what is the fare from san francisco to dallas fort worth on delta flight 852,0
 flights from newark new jersey to cleveland ohio,1
 give me flights from denver to baltimore,1
 show the flights from denver to san francisco,1
